Nama Tempat,Kategori,Area,Rating,Harga,Latitude,Longitude,Google Maps Link
Rivets Coffee & Roastery Cafe (Cikutra),Cafe,Cikutra,4.3,Rp 25–50,-6.894034,107.6394964,https://www.google.com/maps/place/Rivets+Coffee+%26+Roastery+Cafe+%28Cikutra%29/data=!4m7!3m6!1s0x2e68e70605716349:0x1f69755f50ed1e21!8m2!3d-6.894034!4d107.6394964!16s%2Fg%2F11pzwzx03x!19sChIJSWNxBQbnaC4RIR7tUF91aR8?authuser=0&hl=id&rclk=1
Halu Halu Coffee,Cafe,Cikutra,4.9,Rp 1–50.000,-6.8940141,107.63821,https://www.google.com/maps/place/Halu+Halu+Coffee/data=!4m7!3m6!1s0x2e68e797b4d374e7:0x5d63f076ecd4cae1!8m2!3d-6.8940141!4d107.63821!16s%2Fg%2F11sc7b6bd4!19sChIJ53TTtJfnaC4R4crU7HbwY10?authuser=0&hl=id&rclk=1
Bento Kopi Cikutra,Cafe,Cikutra,4.3,Rp 25–50,-6.8954461,107.643533,https://www.google.com/maps/place/Bento+Kopi+Cikutra/data=!4m7!3m6!1s0x2e68e70066040b85:0x7024b42b63fc0a9e!8m2!3d-6.8954461!4d107.643533!16s%2Fg%2F11vs2wjkyw!19sChIJhQsEZgDnaC4Rngr8Yyu0JHA?authuser=0&hl=id&rclk=1
Tekun Cikutra,Cafe,Cikutra,4.9,Rp 1–25.000,-6.8920893,107.6320773,https://www.google.com/maps/place/Tekun+Cikutra/data=!4m7!3m6!1s0x2e68e7e9c082a0d5:0xb356e3799c70e512!8m2!3d-6.8920893!4d107.6320773!16s%2Fg%2F11sb835m2z!19sChIJ1aCCwOnnaC4REuVwnHnjVrM?authuser=0&hl=id&rclk=1
Flash Coffee - Cikutra,Cafe,Cikutra,4.7,Rp 25–50,-6.896637,107.6435451,https://www.google.com/maps/place/Flash+Coffee+-+Cikutra/data=!4m7!3m6!1s0x2e68e77264d3cef1:0xe5c0dea7637a8e1f!8m2!3d-6.896637!4d107.6435451!16s%2Fg%2F11k3n42msp!19sChIJ8c7TZHLnaC4RH456Y6fewOU?authuser=0&hl=id&rclk=1
Rooftop Coffee Uber,Cafe,Bandung Timur,4.8,Rp 25–50,-6.9128875,107.6927129,https://www.google.com/maps/place/Rooftop+Coffee+Uber/data=!4m7!3m6!1s0x2e68dddee9b004af:0xba86e0467e15f544!8m2!3d-6.9128875!4d107.6927129!16s%2Fg%2F11v3q772t4!19sChIJrwSw6d7daC4RRPUVfkbghro?authuser=0&hl=id&rclk=1
Kurito Coffee & Eatery,Cafe,Bandung Timur,4.5,Rp 25–50,-6.9143562,107.6966739,https://www.google.com/maps/place/Kurito+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e68dd2ac2888d69:0x23d196d4c8eb2dec!8m2!3d-6.9143562!4d107.6966739!16s%2Fg%2F11w3t4k3hj!19sChIJaY2IwirdaC4R7C3ryNSW0SM?authuser=0&hl=id&rclk=1
U-berkopi,Cafe,Bandung Timur,4.4,Rp 25–50,-6.9104594,107.7048161,https://www.google.com/maps/place/U-berkopi/data=!4m7!3m6!1s0x2e68dd32b55ef42b:0xc10b178282051c61!8m2!3d-6.9104594!4d107.7048161!16s%2Fg%2F11t7263szy!19sChIJK_RetTLdaC4RYRwFgoIXC8E?authuser=0&hl=id&rclk=1
Dadar Beredar Ujung Berung,Cafe,Bandung Timur,4.9,Rp 25–50,-6.9131076,107.6942393,https://www.google.com/maps/place/Dadar+Beredar+Ujung+Berung/data=!4m7!3m6!1s0x2e68dd5e2aac6061:0x9f2f690cada76960!8m2!3d-6.9131076!4d107.6942393!16s%2Fg%2F11x1yjz7d6!19sChIJYWCsKl7daC4RYGmnrQxpL58?authuser=0&hl=id&rclk=1
Bagi Kopi Ujung Berung,Cafe,Bandung Timur,4.6,Rp 25–50,-6.9130179,107.6931373,https://www.google.com/maps/place/Bagi+Kopi+Ujung+Berung/data=!4m7!3m6!1s0x2e68e71b46893ca3:0x133733dde333ce98!8m2!3d-6.9130179!4d107.6931373!16s%2Fg%2F11jrckqpsy!19sChIJozyJRhvnaC4RmM4z490zNxM?authuser=0&hl=id&rclk=1
